stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,999,1,actual,low,m,gonogo,29,,27,27,4.732403993606567,5.215821027755737,1,,,,1.0,18.0,,1,0.0
m,go,11,999,2,actual,low,m,gonogo,29,,27,27,6.200520992279053,6.683874130249023,1,,,,1.0,18.0,,2,0.0
m,go,11,999,3,actual,low,m,gonogo,29,,27,27,7.668564081192017,8.151973009109497,1,,,,1.0,18.0,,3,0.0
m,go,11,999,4,actual,low,m,gonogo,29,,27,27,9.136657953262329,9.62005090713501,1,,,,1.0,18.0,,4,0.0
m,go,11,999,5,actual,low,m,gonogo,29,,27,27,10.60475206375122,11.088129997253418,1,,,,1.0,18.0,,5,0.0
m,go,11,999,6,actual,low,m,gonogo,29,,27,27,12.072787046432495,12.556169033050537,1,,,,1.0,18.0,,6,0.0
w,nogo,12,999,7,actual,low,m,gonogo,29,,27,27,13.53995394706726,14.023344039916992,1,,,,1.0,19.0,,7,1.0
m,go,11,999,8,actual,low,m,gonogo,29,,27,27,15.007163047790527,15.490545988082886,1,,,,1.0,18.0,,8,0.0
m,go,11,999,9,actual,low,m,gonogo,29,,27,27,16.47521710395813,16.958624124526978,1,,,,1.0,18.0,,9,0.0
w,nogo,12,999,10,actual,low,m,gonogo,29,,27,27,17.942732095718384,18.426083087921143,1,,,,1.0,19.0,,10,1.0
w,nogo,12,999,11,actual,low,m,gonogo,29,,27,27,19.410743951797485,19.89409613609314,1,,,,1.0,19.0,,11,1.0
m,go,11,999,12,actual,low,m,gonogo,29,,27,27,20.878106117248535,21.361541032791138,1,,,,1.0,18.0,,12,0.0
w,nogo,12,999,1,actual,high,m,gonogo,29,,27,27,22.356203079223633,22.839579105377197,2,,,,1.0,19.0,,13,1.0
m,go,11,999,2,actual,high,m,gonogo,29,,27,27,23.82324194908142,24.30663800239563,2,,,,1.0,18.0,,14,0.0
w,nogo,12,999,3,actual,high,m,gonogo,29,,27,27,25.290784120559692,25.774187088012695,2,,,,1.0,19.0,,15,1.0
m,go,11,999,4,actual,high,m,gonogo,29,,27,27,26.758266925811768,27.24163007736206,2,,,,1.0,18.0,,16,0.0
m,go,11,999,5,actual,high,m,gonogo,29,,27,27,28.22622513771057,28.70961308479309,2,,,,1.0,18.0,,17,0.0
m,go,11,999,6,actual,high,m,gonogo,29,,27,27,29.69423007965088,30.177587032318115,2,,,,1.0,18.0,,18,0.0
w,nogo,12,999,7,actual,high,m,gonogo,29,,27,27,31.16223406791687,31.645610094070435,2,,,,1.0,19.0,,19,1.0
w,nogo,12,999,8,actual,high,m,gonogo,29,,27,27,32.63023900985718,33.11359906196594,2,,,,1.0,19.0,,20,1.0
w,nogo,12,999,9,actual,high,m,gonogo,29,,27,27,34.098206996917725,34.581581115722656,2,,,,1.0,19.0,,21,1.0
w,nogo,12,999,10,actual,high,m,gonogo,29,,27,27,35.566301107406616,36.04965400695801,2,,,,1.0,19.0,,22,1.0
m,go,11,999,11,actual,high,m,gonogo,29,,27,27,37.033231019973755,37.516582012176514,2,,,,1.0,18.0,,23,0.0
m,go,11,999,12,actual,high,m,gonogo,29,,27,27,38.501179933547974,38.98455309867859,2,,,,1.0,18.0,,24,0.0
m,go,11,999,1,actual,low,m,gonogo,29,,27,27,40.036354064941406,40.51981997489929,3,,,,1.0,18.0,,25,0.0
w,nogo,12,999,2,actual,low,m,gonogo,29,,27,27,41.504432916641235,41.98779511451721,3,,,,1.0,19.0,,26,1.0
m,go,11,999,3,actual,low,m,gonogo,29,,27,27,42.97239804267883,43.45575499534607,3,,,,1.0,18.0,,27,0.0
m,go,11,999,4,actual,low,m,gonogo,29,,27,27,44.440221071243286,44.92360496520996,3,,,,1.0,18.0,,28,0.0
m,go,11,999,5,actual,low,m,gonogo,29,,27,27,45.908282995224,46.391637086868286,3,,,0.418289899826,1.0,,,29,
