participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
999,2018_06_27,1,practice,shiftingLetterNumber,30,,60,52.42545509338379,53.54479002952576,50.2893409729,1,,,,2.0,,,1,0,0,n7,25,0.5,12,0,house,white,new,2
999,2018_06_27,2,practice,shiftingLetterNumber,30,,60,55.52952599525452,56.61292910575867,,1,,,,6.0,,,2,0,0,m7,25,0.5,12,0,house,white,new,2
999,2018_06_27,3,practice,shiftingLetterNumber,30,,60,62.59782695770264,63.681183099746704,,1,,,,4.0,,,3,0,0,m3,25,0.5,12,1,face,blue,male,3
999,2018_06_27,4,practice,shiftingLetterNumber,30,,60,67.66603899002075,68.74946808815002,,1,,,,5.0,,,4,0,0,m2,25,0.5,12,1,house,white,old,1
999,2018_06_27,5,practice,shiftingLetterNumber,30,,60,73.73430705070496,74.81773805618286,,1,,3,0.707715034485,1.0,15.0,,5,1,1,p3,25,0.5,12,1,face,blue,male,3
999,2018_06_27,6,practice,shiftingLetterNumber,30,,60,75.80254912376404,76.88592410087585,,1,,,,2.0,,,6,0,0,g9,25,0.5,12,0,face,blue,female,4
999,2018_06_27,7,practice,shiftingLetterNumber,30,,60,78.87076592445374,79.95421195030212,,1,,,,3.0,,,7,0,0,m8,25,0.5,12,1,house,white,new,2
999,2018_06_27,8,practice,shiftingLetterNumber,30,,60,82.9391119480133,84.02251195907593,,1,,,,2.0,,,8,0,0,o2,25,0.5,12,0,house,white,old,1
999,2018_06_27,9,practice,shiftingLetterNumber,30,,60,86.00729894638062,87.09065914154053,,1,,4,0.921767950058,2.0,16.0,,9,0,0,i8,25,0.5,12,0,house,white,new,2
999,2018_06_27,10,practice,shiftingLetterNumber,30,,60,89.07565999031067,90.15905904769897,,1,,,,6.0,,,10,0,0,g8,25,0.5,12,0,house,white,new,2
999,2018_06_27,11,practice,shiftingLetterNumber,30,,60,96.14279007911682,97.22616696357727,,1,,,,2.0,,,11,0,0,p8,25,0.5,12,0,house,white,new,2
999,2018_06_27,12,practice,shiftingLetterNumber,30,,60,99.21103596687317,100.294438123703,,1,,4,0.865973949432,4.0,15.0,,12,1,1,i1,25,0.5,12,1,face,blue,female,4
999,2018_06_27,13,practice,shiftingLetterNumber,30,,60,104.27928400039673,105.36272192001343,,1,,3,0.799186944962,4.0,16.0,,13,0,0,m6,25,0.5,12,1,house,white,new,2
999,2018_06_27,14,practice,shiftingLetterNumber,30,,60,109.34667801856995,110.43012404441833,,1,,4,0.816386938095,4.0,16.0,,14,0,0,m7,25,0.5,12,0,house,white,new,2
999,2018_06_27,15,practice,shiftingLetterNumber,30,,60,114.41481900215149,115.4982521533966,,1,,3,0.888105154037,5.0,16.0,,15,0,0,m1,25,0.5,12,0,house,white,old,1
999,2018_06_27,16,practice,shiftingLetterNumber,30,,60,120.48313903808594,121.56649899482727,,1,,,,1.0,,,16,0,0,f2,25,0.5,12,1,face,blue,female,4
999,2018_06_27,17,practice,shiftingLetterNumber,30,,60,122.55027604103088,123.63367915153503,,1,,4,0.871291875839,4.0,15.0,,17,1,1,f6,25,0.5,12,0,face,blue,female,4
999,2018_06_27,18,practice,shiftingLetterNumber,30,,60,127.61851406097412,128.70188903808594,,1,,1,0.887240886688,6.0,16.0,,18,0,0,n9,25,0.5,12,1,house,white,new,2
999,2018_06_27,19,practice,shiftingLetterNumber,30,,60,134.68678998947144,135.7702329158783,,1,,4,0.949814081192,3.0,15.0,,19,1,1,h3,25,0.5,12,1,face,blue,female,4
999,2018_06_27,20,practice,shiftingLetterNumber,30,,60,138.75448608398438,139.83792996406555,,1,,,,1.0,,,20,0,0,n7,25,0.5,12,1,house,white,new,2
999,2018_06_27,21,practice,shiftingLetterNumber,30,,60,140.82275414466858,141.9061460494995,,1,,,,3.0,,,21,0,0,o1,25,0.5,12,0,house,white,old,1
999,2018_06_27,22,practice,shiftingLetterNumber,30,,60,144.89105606079102,145.97442197799683,,1,,4,0.921782970428,3.0,16.0,,22,0,0,p1,25,0.5,12,1,face,blue,male,3
999,2018_06_27,23,practice,shiftingLetterNumber,30,,60,148.95922303199768,150.04266595840454,,1,,,,2.0,,,23,0,0,i4,25,0.5,12,0,face,blue,female,4
999,2018_06_27,24,practice,shiftingLetterNumber,30,,60,152.02752804756165,153.11091303825378,,1,,4,0.652882814407,1.0,15.0,,24,1,1,f1,25,0.5,12,0,face,blue,female,4
999,2018_06_27,25,practice,shiftingLetterNumber,30,,60,154.0957169532776,155.1791639328003,,1,,2,0.936106920242,5.0,15.0,,25,1,1,m7,25,0.5,12,1,house,white,new,2
