participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
9999,2018_06_27,1,practice,shiftingLetterNumber,30,,60,21.710100889205933,22.843186855316162,12.3283839226,1,,,,1.0,,,1,0,0,f6,25,0.5,12,0,face,white,female,3
9999,2018_06_27,2,practice,shiftingLetterNumber,30,,60,23.82780885696411,24.911181926727295,,1,,,,3.0,,,2,0,0,f8,25,0.5,12,0,face,white,female,3
9999,2018_06_27,3,practice,shiftingLetterNumber,30,,60,27.896005868911743,28.97938585281372,,1,,3,0.85444688797,5.0,15.0,,3,1,1,i1,25,0.5,12,0,face,white,female,3
9999,2018_06_27,4,practice,shiftingLetterNumber,30,,60,33.964170932769775,35.04758095741272,,1,,4,0.818651914597,3.0,15.0,,4,1,1,p9,25,0.5,12,0,face,white,male,4
9999,2018_06_27,5,practice,shiftingLetterNumber,30,,60,38.03250193595886,39.115914821624756,,1,,3,0.652926921844,1.0,16.0,,5,0,0,f1,25,0.5,12,1,house,blue,old,1
9999,2018_06_27,6,practice,shiftingLetterNumber,30,,60,40.09955596923828,41.18295478820801,,1,,,,5.0,,,6,0,0,m9,25,0.5,12,1,face,white,male,4
9999,2018_06_27,7,practice,shiftingLetterNumber,30,,60,46.16672396659851,47.25015187263489,,1,,,,4.0,,,7,0,0,m6,25,0.5,12,1,house,blue,new,2
9999,2018_06_27,8,practice,shiftingLetterNumber,30,,60,51.23403596878052,52.317471981048584,,1,,3,0.921404123306,1.0,16.0,,8,0,0,h3,25,0.5,12,0,house,blue,old,1
9999,2018_06_27,9,practice,shiftingLetterNumber,30,,60,53.30229902267456,54.38572287559509,,1,,,,2.0,,,9,0,0,g4,25,0.5,12,0,house,blue,old,1
9999,2018_06_27,10,practice,shiftingLetterNumber,30,,60,56.37048888206482,57.453953981399536,,1,,,,1.0,,,10,0,0,m1,25,0.5,12,0,house,blue,old,1
9999,2018_06_27,11,practice,shiftingLetterNumber,30,,60,58.438222885131836,59.52161693572998,,1,,2,0.869978904724,3.0,15.0,,11,1,1,p9,25,0.5,12,0,house,blue,new,2
9999,2018_06_27,12,practice,shiftingLetterNumber,30,,60,62.506462812423706,63.58990979194641,,1,,1,0.766412973404,4.0,15.0,,12,1,1,h4,25,0.5,12,0,house,blue,old,1
9999,2018_06_27,13,practice,shiftingLetterNumber,30,,60,67.57460498809814,68.65808701515198,,1,,,,5.0,,,13,0,0,n4,25,0.5,12,0,house,blue,old,1
9999,2018_06_27,14,practice,shiftingLetterNumber,30,,60,73.64225697517395,74.72569489479065,,1,,3,0.733398199081,6.0,15.0,,14,1,1,f8,25,0.5,12,1,face,white,female,3
9999,2018_06_27,15,practice,shiftingLetterNumber,30,,60,80.71059489250183,81.79400491714478,,1,,1,0.718445777893,1.0,15.0,,15,1,1,m2,25,0.5,12,1,house,blue,old,1
9999,2018_06_27,16,practice,shiftingLetterNumber,30,,60,82.77918982505798,83.8626639842987,,1,,3,0.886921882629,1.0,15.0,,16,1,1,i3,25,0.5,12,1,face,white,female,3
9999,2018_06_27,17,practice,shiftingLetterNumber,30,,60,84.84751391410828,85.93095684051514,,1,,3,0.568644046783,4.0,15.0,,17,1,1,i3,25,0.5,12,0,face,white,female,3
9999,2018_06_27,18,practice,shiftingLetterNumber,30,,60,89.91566896438599,90.99911093711853,,1,,,,5.0,,,18,0,0,o9,25,0.5,12,1,house,blue,new,2
9999,2018_06_27,19,practice,shiftingLetterNumber,30,,60,95.98412489891052,97.06757283210754,,1,,3,0.517390012741,2.0,15.0,,19,1,1,i9,25,0.5,12,1,face,white,female,3
9999,2018_06_27,20,practice,shiftingLetterNumber,30,,60,99.05230188369751,100.13574981689453,,1,,3,0.536474943161,5.0,15.0,,20,1,1,g1,25,0.5,12,0,face,white,female,3
9999,2018_06_27,21,practice,shiftingLetterNumber,30,,60,105.120032787323,106.20339584350586,,1,,,,6.0,,,21,0,0,p7,25,0.5,12,1,house,blue,new,2
9999,2018_06_27,22,practice,shiftingLetterNumber,30,,60,112.18784093856812,113.27126789093018,,1,,2,0.520323038101,6.0,15.0,,22,1,1,i7,25,0.5,12,0,house,blue,new,2
9999,2018_06_27,23,practice,shiftingLetterNumber,30,,60,119.25618481636047,120.343820810318,,1,,3,0.554040193558,4.0,16.0,,23,0,0,n9,25,0.5,12,1,face,white,male,4
9999,2018_06_27,24,practice,shiftingLetterNumber,30,,60,124.32879400253296,125.41217994689941,,1,,3,0.650985002518,6.0,16.0,,24,0,0,g4,25,0.5,12,1,house,blue,old,1
9999,2018_06_27,25,practice,shiftingLetterNumber,30,,60,131.3969578742981,132.4803500175476,,1,,4,0.721207141876,2.0,15.0,,25,1,1,n9,25,0.5,12,1,face,white,male,4
