Subject,Taste_Nat,Health_Nat,Threshold_Nat,StBias_Nat,NonDec_Nat,Taste_Health,Health_Health,Threshold_Health,StBias_Health,NonDec_Health,Taste_Desire,Health_Desire,Threshold_Desire,StBias_Desire,NonDec_Desire,LikingChange_Nat,InterceptChange_Nat,TasteChange_Nat,HealthChange_Nat,LikingChange_Health,InterceptChange_Health,TasteChange_Health,HealthChange_Health,LikingChange_Desire,InterceptChange_Desire,TasteChange_Desire,HealthChange_Desire
101,0.0631,0.028,0.0682,-0.2868,0.5615,0.0222,0.0785,0.0628,-0.2571,0.5629,0.0398,0.0122,0.075,-0.3306,0.4553,-0.1333,-0.7972,0.0468,0.1232,-0.2386,-0.6082,0.04,0.0536,-0.2159,-0.2875,0.037,-0.0186
102,0.0585,-0.0045,0.0898,-0.1555,0.326,0.0305,0.0386,0.1147,-0.2415,0.3766,0.0397,-0.0069,0.1075,-0.2415,0.3999,-0.4535,0.1201,-0.1534,-0.0752,-0.4667,-0.511,0.0443,-0.0143,-0.3523,0.0792,-0.1399,-0.0436
103,0.0374,0.0266,0.082,-0.1555,0.3884,0.0334,0.0221,0.0832,-0.1655,0.3802,0.0336,0.0182,0.073,-0.1403,0.4324,0.0333,0.5177,0.0916,-0.2301,-0.0455,0.9144,0.0946,-0.3845,-0.0889,0.179,0.2342,-0.3125
104,0.0634,0.0141,0.1123,-0.1069,0.5392,0.0391,0.0211,0.1509,-0.0678,0.422,0.0263,0.0191,0.1301,-0.1489,0.5804,0.0909,0.0128,-0.1219,0.1429,0.2778,0.543,-0.2422,0.1494,0.0814,-0.096,0.0495,0.0098
105,0.015,-0.0083,0.0747,-0.3464,0.6878,0.0219,0.0017,0.0809,-0.339,0.6316,0.0004,0.0128,0.0732,-0.3664,0.6847,-1.0333,0.0172,-0.1813,-0.1101,-0.7841,-0.6611,-0.0642,0.0384,-1.0444,-0.7723,0.079,-0.171
106,0.0364,-0.0065,0.0982,-0.1772,0.8127,0.0055,0.0387,0.121,-0.1971,0.6408,0.0217,0.0414,0.089,-0.2115,0.9033,-0.125,-0.1706,-0.0461,0.0817,-0.2386,-0.9155,-0.0493,0.2962,-0.1556,-0.2248,-0.2098,0.2896
107,0.0606,0.0122,0.1024,0.0917,0.8965,-0.0157,0.0374,0.0994,0.2098,0.7887,-0.0151,0.0067,0.1698,-0.5613,0.9317,0.25,0.4974,-0.2627,0.2514,0.3556,0.206,-0.2628,0.3359,0.2889,-0.0146,-0.1965,0.32
108,0.013,0.0123,0.081,-0.1862,0.4889,0.0154,0.036,0.0856,-0.1396,0.5308,0.0181,0.0148,0.0892,-0.3502,0.5016,0.625,0.258,0.3507,-0.339,0.5333,0.547,0.2666,-0.3591,0.4545,0.5597,0.2654,-0.3217
109,0.0122,0.0563,0.1139,-0.2799,0.6462,-0.0003,0.0655,0.1144,-0.3324,0.6884,-0.0321,0.0071,0.1909,-0.5171,0.5496,0.3111,-0.3316,0.1068,0.072,0.2222,-0.4126,0.0807,0.0965,0.3605,-0.1273,0.0595,0.0813
110,0.0098,0.0069,0.0896,-0.2543,0.444,-0.0032,0.0144,0.0982,-0.2884,0.4215,0.0108,0.0083,0.1149,-0.5055,0.5068,0.4667,1.0494,0.01,-0.1854,0.4333,0.8565,-0.0056,-0.1266,0.3182,0.3081,0.0909,-0.1002
111,0.0391,-0.0091,0.0852,0.0635,0.7627,-0.0082,0.046,0.1117,-0.044,0.6311,0.014,0.0147,0.1139,-0.0227,0.9791,-0.0333,-0.2831,0.0238,0.0596,-0.0556,-0.3775,-0.0183,0.1232,-0.2045,-0.2644,-0.0075,0.0259
112,0.0552,0.0349,0.096,-0.2892,0.5011,-0.0172,0.1086,0.1157,-0.2083,0.4817,-0.0168,0.0616,0.0899,-0.1214,0.5881,0.0909,0.1543,0.0569,-0.0869,0.1591,-0.3455,0.0597,0.0706,0.1,-0.1852,0.0467,0.0253
113,0.0599,-0.0133,0.1012,-0.0821,0.8061,0.0296,0.0309,0.1013,-0.1131,0.6927,0.0472,0.0101,0.1078,-0.0964,0.7951,0.0556,-0.175,0.1335,-0.0414,0.2093,-0.0488,0.0066,0.0714,-0.0889,-0.1011,0.09,-0.0785
114,0.0167,0.0382,0.0885,-0.3528,0.6973,-0.0076,0.0932,0.1154,-0.2482,0.6522,0.0161,0.0485,0.1178,-0.456,0.7408,-0.4091,-0.0596,-0.2808,0.2279,-0.4773,-0.4015,-0.1881,0.2111,-0.4667,-0.5767,-0.0599,0.101
115,0.0234,0.0157,0.1582,-0.5441,0.4669,0.0245,0.0043,0.5675,-0.8933,0.565,0.0159,0.0222,0.551,-0.8947,0.5452,-0.4889,-0.0559,-0.1126,-0.0251,-0.5556,-0.1066,-0.0023,-0.1223,-0.4889,-0.1418,-0.0141,-0.0947
116,0.0462,0.0034,0.1136,-0.4277,0.5657,0.0412,0.0209,0.1105,-0.4598,0.6442,0.0274,0.0044,0.109,-0.4374,0.5684,0.3222,-0.1267,0.215,-0.0529,0.3068,0.1699,0.1991,-0.1643,0.4333,-0.0457,0.2355,-0.1113
118,0.0238,0.0102,0.0867,-0.1408,0.4628,0.0369,0.0175,0.0863,-0.1166,0.5397,0.0344,0.0029,0.0908,-0.1394,0.4686,-0.5,-2.0803,0.109,0.321,-0.5341,-1.4334,0.0873,0.1858,-0.7273,-1.9808,0.0323,0.3404
119,0.0541,0.0225,0.0664,0.036,0.5918,0.0153,0.0694,0.0885,-0.0134,0.5372,0.0159,0.0226,0.1146,-0.4083,0.5718,0.0238,0.2945,0.0352,-0.118,-0.1512,0.4435,-0.0647,-0.1032,-0.1111,0.9845,-0.1233,-0.1896
120,0.0004,-0.0164,0.0733,-0.2249,0.6652,0.043,0.0157,0.1076,0.1185,0.5504,0.014,-0.0406,0.0823,-0.1397,0.6965,-0.1111,0.2817,-0.0099,-0.1017,-0.1744,-0.141,0.0434,-0.0573,-0.4333,-1.1201,0.1094,0.064
121,0.0332,0.0063,0.1508,-0.2338,0.4892,0.0244,0.0203,0.1364,-0.1569,0.5052,0.0239,0.0203,0.1469,-0.2178,0.6471,-0.686,-0.4284,0.1463,-0.2025,-0.5222,-0.3743,0.1128,-0.1449,-0.8636,-0.4766,-0.1529,-0.0186
122,0.0358,-0.0076,0.0937,0.1297,0.8363,0.0139,0.0317,0.1047,-0.3078,0.849,-0.0162,-0.0109,0.1247,-0.386,0.8138,0.0444,-0.4194,0.1167,0.0053,0.1279,-0.7398,0.1071,0.1463,0.0116,0.831,-0.0899,-0.1321
123,0.0505,-0.0123,0.1064,-0.0096,0.522,0.0451,0.006,0.1221,-0.159,0.3822,0.0445,-0.0152,0.1104,-0.1388,0.5038,-0.1395,-0.0252,0.0929,-0.1194,-0.2556,-0.7,0.1301,-0.0062,-0.0667,-0.3597,0.0274,0.0485
124,0.0622,-0.0003,0.1554,-0.0945,0.6281,0.0051,0.082,0.2042,-0.0495,0.5411,-0.0443,0.003,0.1455,0.1776,0.8338,0.3182,0.7546,-0.0546,-0.0516,0.2333,0.7639,-0.2088,0.0863,0,-0.1713,0.0402,0.001
125,0.0765,0.0209,0.1077,-0.3322,0.4984,0.053,0.0649,0.1184,-0.1836,0.5493,0.0003,0.0334,0.0986,-0.2802,0.6291,-0.2556,-0.5454,0.0699,-0.0045,-0.1333,0.1312,-0.0079,-0.0583,-0.2614,-0.3152,0.0242,-0.0136
