participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
126,2018_06_27,1,actual,shiftingLetterNumber,30,,120,18.055937104647455,19.155948419705965,12.0520636162,1,,1,0.667172601785,4.0,16.0,,1,0,0,h7,80,0.5,40,0,house,blue,new,3
126,2018_06_27,2,actual,shiftingLetterNumber,30,,120,23.15546484164952,24.25547820468637,,1,,3,0.992173920167,2.0,15.0,,2,1,0,f8,80,0.5,40,0,house,blue,new,3
126,2018_06_27,3,actual,shiftingLetterNumber,30,,120,26.255567291591433,27.355581422616524,,1,,1,0.675267990307,5.0,16.0,,3,0,0,m9,80,0.5,40,0,house,blue,new,3
126,2018_06_27,4,actual,shiftingLetterNumber,30,,120,32.35490149497127,33.454914090016246,,1,,4,0.617177440123,2.0,15.0,,4,1,0,i3,80,0.5,40,0,house,blue,old,4
126,2018_06_27,5,actual,shiftingLetterNumber,30,,120,35.45514013524007,36.55514197841694,,1,,1,0.600497197091,3.0,15.0,,5,1,0,i9,80,0.5,40,1,face,white,female,1
126,2018_06_27,6,actual,shiftingLetterNumber,30,,120,39.5552182654792,40.65523086052417,,1,,2,0.408839776177,5.0,16.0,,6,0,0,n4,80,0.5,40,1,house,blue,old,4
126,2018_06_27,7,actual,shiftingLetterNumber,30,,120,45.65443675828283,46.754451401302504,,1,,1,0.400499910658,1.0,16.0,,7,0,0,p8,80,0.5,40,1,face,white,male,2
126,2018_06_27,8,actual,shiftingLetterNumber,30,,120,47.75459399155079,48.854619642435864,,1,,1,0.56712672715,3.0,16.0,,8,0,0,m4,80,0.5,40,1,house,blue,old,4
126,2018_06_27,9,actual,shiftingLetterNumber,30,,120,51.85384729992438,52.95386271093594,,1,,4,0.459057399101,2.0,16.0,,9,0,0,p1,80,0.5,40,1,face,white,male,2
126,2018_06_27,10,actual,shiftingLetterNumber,30,,120,54.952898114788695,56.05290994184543,,1,,1,0.358712264144,5.0,15.0,,10,1,0,h3,80,0.5,40,0,face,white,female,1
126,2018_06_27,11,actual,shiftingLetterNumber,30,,120,61.05210559972693,62.15212152273307,,1,,3,0.350545196499,3.0,16.0,,11,0,0,m2,80,0.5,40,1,house,blue,old,4
126,2018_06_27,12,actual,shiftingLetterNumber,30,,120,65.15132793248267,66.2513423195087,,1,,1,0.367220063599,4.0,16.0,,12,0,0,f8,80,0.5,40,0,house,blue,new,3
126,2018_06_27,13,actual,shiftingLetterNumber,30,,120,70.25050111384553,71.35051268490133,,1,,3,0.350567724225,6.0,16.0,,13,0,0,n7,80,0.5,40,1,face,white,male,2
126,2018_06_27,14,actual,shiftingLetterNumber,30,,120,77.34991211628221,78.44992291934977,,1,,1,0.316896457975,5.0,16.0,,14,0,0,m4,80,0.5,40,0,face,white,male,2
126,2018_06_27,15,actual,shiftingLetterNumber,30,,120,83.44917336056096,84.54918723558876,,1,,4,0.325491552361,1.0,16.0,,15,0,0,m8,80,0.5,40,1,house,blue,new,3
