bids_name,fd_mean,fd_perc,fd_num
sub-101_task-choose_run-01_bold,0.057736697,0,0
sub-101_task-choose_run-02_bold,0.064251482,0,0
sub-101_task-choose_run-03_bold,0.075556384,1.538461538,2
sub-101_task-choose_run-04_bold,0.083531995,1.550387597,2
sub-101_task-choose_run-05_bold,0.08075409,5.384615385,7
sub-101_task-choose_run-06_bold,0.085451709,4.615384615,6
sub-101_task-choose_run-07_bold,0.099731299,4.615384615,6
sub-101_task-choose_run-08_bold,0.08837356,2.325581395,3
sub-101_task-choose_run-09_bold,0.079218449,3.846153846,5
sub-101_task-gonogo_run-01_bold,0.060467205,0,0
sub-101_task-gonogo_run-02_bold,0.066492789,2.222222222,2
sub-101_task-switch_bold,0.102216646,6.043956044,11
sub-102_task-choose_run-01_bold,0.071581589,1.538461538,2
sub-102_task-choose_run-02_bold,0.067203187,0,0
sub-102_task-choose_run-03_bold,0.069124513,0,0
sub-102_task-choose_run-04_bold,0.066901188,0,0
sub-102_task-choose_run-05_bold,0.062983886,1.538461538,2
sub-102_task-choose_run-06_bold,0.066731857,1.538461538,2
sub-102_task-choose_run-07_bold,0.063605442,0,0
sub-102_task-choose_run-08_bold,0.069167828,1.538461538,2
sub-102_task-choose_run-09_bold,0.064846779,1.538461538,2
sub-102_task-gonogo_run-01_bold,0.045936309,0,0
sub-102_task-gonogo_run-02_bold,0.052444349,1.063829787,1
sub-102_task-switch_bold,0.052247627,0,0
sub-103_task-choose_run-01_bold,0.093734709,3.076923077,4
sub-103_task-choose_run-02_bold,0.110258499,4.615384615,6
sub-103_task-choose_run-03_bold,0.093766362,4.651162791,6
sub-103_task-choose_run-04_bold,0.093016483,0,0
sub-103_task-choose_run-05_bold,0.095129982,1.538461538,2
sub-103_task-choose_run-06_bold,0.078869217,0,0
sub-103_task-choose_run-07_bold,0.119365013,6.923076923,9
sub-103_task-choose_run-08_bold,0.11122988,12.30769231,16
sub-103_task-choose_run-09_bold,0.100562054,6.153846154,8
sub-103_task-gonogo_run-01_bold,0.069722377,0,0
sub-103_task-gonogo_run-02_bold,0.075659615,4,4
sub-103_task-switch_bold,0.070761732,0.543478261,1
sub-104_task-choose_run-01_bold,0.057702751,0,0
sub-104_task-choose_run-02_bold,0.093081948,5.384615385,7
sub-104_task-choose_run-03_bold,0.090919869,3.846153846,5
sub-104_task-choose_run-04_bold,0.240247423,29.23076923,38
sub-104_task-choose_run-05_bold,0.133784344,12.30769231,16
sub-104_task-choose_run-06_bold,0.208194405,26.15384615,34
sub-104_task-choose_run-07_bold,0.14733631,16.15384615,21
sub-104_task-choose_run-08_bold,0.13110012,13.84615385,18
sub-104_task-choose_run-09_bold,0.147506431,26.15384615,34
sub-104_task-gonogo_run-01_bold,0.068422015,0,0
sub-104_task-gonogo_run-02_bold,0.09237034,5,5
sub-104_task-switch_bold,0.098091026,5.789473684,11
sub-105_task-choose_run-01_bold,0.077663266,1.538461538,2
sub-105_task-choose_run-02_bold,0.091899765,6.201550388,8
sub-105_task-choose_run-03_bold,0.140787275,17.82945736,23
sub-105_task-choose_run-04_bold,0.287714327,51.53846154,67
sub-105_task-choose_run-05_bold,0.236901186,40,52
sub-105_task-choose_run-06_bold,0.348911096,51.1627907,66
sub-105_task-choose_run-07_bold,0.29719518,41.08527132,53
sub-105_task-choose_run-08_bold,0.555789266,64.34108527,83
sub-105_task-choose_run-09_bold,0.124348154,15.50387597,20
sub-105_task-gonogo_run-01_bold,0.166706066,25,25
sub-105_task-gonogo_run-02_bold,0.171936392,22.22222222,22
sub-105_task-switch_bold,0.360483154,53.43915344,101
sub-106_task-choose_run-01_bold,0.144538583,16.15384615,21
sub-106_task-choose_run-02_bold,0.121346938,10.76923077,14
sub-106_task-choose_run-03_bold,0.106932379,8.461538462,11
sub-106_task-choose_run-04_bold,0.099068594,5.384615385,7
sub-106_task-choose_run-05_bold,0.166139975,27.69230769,36
sub-106_task-choose_run-06_bold,0.172544779,25.38461538,33
sub-106_task-choose_run-07_bold,0.168129602,26.15384615,34
sub-106_task-choose_run-08_bold,0.1400603,19.23076923,25
sub-106_task-choose_run-09_bold,0.198465518,39.23076923,51
sub-106_task-gonogo_run-01_bold,0.131321076,16.84210526,16
sub-106_task-gonogo_run-02_bold,0.259438242,44,44
sub-106_task-switch_bold,0.223702208,46.31578947,88
sub-107_task-choose_run-01_bold,0.114887105,6.923076923,9
sub-107_task-choose_run-02_bold,0.101852011,3.875968992,5
sub-107_task-choose_run-03_bold,0.10445367,4.615384615,6
sub-107_task-choose_run-04_bold,0.113088906,7.692307692,10
sub-107_task-choose_run-05_bold,0.178787888,20,26
sub-107_task-choose_run-06_bold,0.146908125,13.84615385,18
sub-107_task-choose_run-07_bold,0.167179297,16.92307692,22
sub-107_task-choose_run-08_bold,0.21100017,25.38461538,33
sub-107_task-choose_run-09_bold,0.09596441,6.153846154,8
sub-107_task-gonogo_run-01_bold,0.12416953,8,8
sub-107_task-gonogo_run-02_bold,0.100215832,4.04040404,4
sub-107_task-switch_bold,0.114342279,7.894736842,15
sub-108_task-choose_run-01_bold,0.065217444,2.307692308,3
sub-108_task-choose_run-02_bold,0.057242319,0,0
sub-108_task-choose_run-03_bold,0.04590624,0.78125,1
sub-108_task-choose_run-04_bold,0.046229222,0,0
sub-108_task-choose_run-05_bold,0.056212077,1.550387597,2
sub-108_task-choose_run-06_bold,0.069252528,3.846153846,5
sub-108_task-choose_run-07_bold,0.06579709,0.775193798,1
sub-108_task-choose_run-08_bold,0.060170104,1.550387597,2
sub-108_task-choose_run-09_bold,0.074371137,3.846153846,5
sub-108_task-gonogo_run-01_bold,0.07478938,4.081632653,4
sub-108_task-gonogo_run-02_bold,0.078496867,3.03030303,3
sub-108_task-switch_bold,0.081924644,3.703703704,7
sub-109_task-choose_run-01_bold,0.080377966,0.769230769,1
sub-109_task-choose_run-02_bold,0.079795922,0,0
sub-109_task-choose_run-03_bold,0.092698861,0.775193798,1
sub-109_task-choose_run-04_bold,0.0857315,3.076923077,4
sub-109_task-choose_run-05_bold,0.086789902,3.100775194,4
sub-109_task-choose_run-06_bold,0.081953598,2.307692308,3
sub-109_task-choose_run-07_bold,0.082086339,2.307692308,3
sub-109_task-choose_run-08_bold,0.085637357,1.550387597,2
sub-109_task-choose_run-09_bold,0.082130017,1.538461538,2
sub-109_task-gonogo_run-01_bold,0.07252596,3.191489362,3
sub-109_task-gonogo_run-02_bold,0.087468609,4.081632653,4
sub-109_task-switch_bold,0.080689226,2.645502646,5
sub-110_task-choose_run-01_bold,0.084202837,0,0
sub-110_task-choose_run-02_bold,0.080729432,0,0
sub-110_task-choose_run-03_bold,0.0977475,4.651162791,6
sub-110_task-choose_run-04_bold,0.1032741,6.153846154,8
sub-110_task-choose_run-05_bold,0.102225922,7.692307692,10
sub-110_task-choose_run-06_bold,0.110139192,10,13
sub-110_task-choose_run-07_bold,0.094231682,4.615384615,6
sub-110_task-choose_run-08_bold,0.090279221,3.846153846,5
sub-110_task-choose_run-09_bold,0.09808004,6.153846154,8
sub-110_task-gonogo_run-01_bold,0.115165259,6.060606061,6
sub-110_task-gonogo_run-02_bold,0.086921093,1,1
sub-110_task-switch_bold,0.080679278,3.157894737,6
sub-111_task-choose_run-01_bold,0.098223116,3.846153846,5
sub-111_task-choose_run-02_bold,0.09754328,2.307692308,3
sub-111_task-choose_run-03_bold,0.095862705,4.651162791,6
sub-111_task-choose_run-04_bold,0.108332492,2.325581395,3
sub-111_task-choose_run-05_bold,0.098345575,3.076923077,4
sub-111_task-choose_run-06_bold,0.1130066,8.527131783,11
sub-111_task-choose_run-07_bold,0.111188454,3.875968992,5
sub-111_task-choose_run-08_bold,0.120553924,9.230769231,12
sub-111_task-choose_run-09_bold,0.145076573,13.95348837,18
sub-111_task-gonogo_run-01_bold,0.112591495,7.142857143,7
