participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
135,2018_06_27,1,actual,shiftingLetterNumber,30,,120,24.279301606464287,25.379313919973356,18.2765985225,1,,,,1.0,,,1,0,0,m1,80,0.5,40,0,house,white,old,3
135,2018_06_27,2,actual,shiftingLetterNumber,30,,120,26.379011842214823,27.47902185174098,,1,,2,0.96713112402,1.0,16.0,,2,0,0,m7,80,0.5,40,1,face,blue,male,1
135,2018_06_27,3,actual,shiftingLetterNumber,30,,120,28.47812355441056,29.578137659904314,,1,,2,0.72553163765,2.0,16.0,,3,0,0,p7,80,0.5,40,1,house,white,new,4
135,2018_06_27,4,actual,shiftingLetterNumber,30,,120,31.5773043860936,32.67731337162695,,1,,3,0.967108852183,6.0,16.0,,4,0,0,n8,80,0.5,40,1,face,blue,male,1
135,2018_06_27,5,actual,shiftingLetterNumber,30,,120,38.67664265660642,39.776654458117264,,1,,4,0.983813752166,6.0,15.0,,5,1,0,o9,80,0.5,40,1,house,white,new,4
135,2018_06_27,6,actual,shiftingLetterNumber,30,,120,45.77697471173815,46.87698600125441,,1,,,,5.0,,,6,0,0,h6,80,0.5,40,0,house,white,new,4
135,2018_06_27,7,actual,shiftingLetterNumber,30,,120,51.87628738244166,52.97630174393635,,1,,,,1.0,,,7,0,0,g6,80,0.5,40,0,house,white,new,4
135,2018_06_27,8,actual,shiftingLetterNumber,30,,120,53.976396207235666,55.07641210471775,,1,,,,6.0,,,8,0,0,i7,80,0.5,40,1,face,blue,female,2
135,2018_06_27,9,actual,shiftingLetterNumber,30,,120,61.07573268576016,62.17574499926923,,1,,,,2.0,,,9,0,0,g9,80,0.5,40,1,house,white,new,4
135,2018_06_27,10,actual,shiftingLetterNumber,30,,120,64.17487972569143,65.2748945991807,,1,,,,4.0,,,10,0,0,i8,80,0.5,40,0,house,white,new,4
135,2018_06_27,11,actual,shiftingLetterNumber,30,,120,69.27412814087438,70.37415171829707,,1,,,,1.0,,,11,0,0,f8,80,0.5,40,1,face,blue,female,2
135,2018_06_27,12,actual,shiftingLetterNumber,30,,120,71.37422954172143,72.47423955124395,,1,,2,0.542031943954,3.0,15.0,,12,1,0,i6,80,0.5,40,0,face,blue,female,2
135,2018_06_27,13,actual,shiftingLetterNumber,30,,120,75.47343494921734,76.57344751872733,,1,,3,0.783887684418,5.0,16.0,,13,0,0,i9,80,0.5,40,1,house,white,new,4
135,2018_06_27,14,actual,shiftingLetterNumber,30,,120,81.57272022812322,82.67273842958821,,1,,,,3.0,,,14,0,0,h1,80,0.5,40,1,face,blue,female,2
135,2018_06_27,15,actual,shiftingLetterNumber,30,,120,85.67193561954991,86.77194639707159,,1,,2,0.717126196054,6.0,16.0,,15,0,0,m7,80,0.5,40,1,house,white,new,4
135,2018_06_27,16,actual,shiftingLetterNumber,30,,120,92.77128796995748,93.87130156345665,,1,,3,0.775495042726,4.0,15.0,,16,1,0,g4,80,0.5,40,0,house,white,old,3
135,2018_06_27,17,actual,shiftingLetterNumber,30,,120,97.87154783362712,98.97155886714609,,1,,2,0.775488130777,5.0,16.0,,17,0,0,n4,80,0.5,40,0,house,white,old,3
135,2018_06_27,18,actual,shiftingLetterNumber,30,,120,103.9708315765456,105.070845682043,,1,,4,0.708796529896,4.0,16.0,,18,0,0,h6,80,0.5,40,1,face,blue,female,2
135,2018_06_27,19,actual,shiftingLetterNumber,30,,120,109.07010072757112,110.1701153450631,,1,,3,0.792212998611,5.0,16.0,,19,0,0,n9,80,0.5,40,1,house,white,new,4
135,2018_06_27,20,actual,shiftingLetterNumber,30,,120,115.1693847264869,116.26939601600316,,1,,4,0.72545253424,6.0,16.0,,20,0,0,n2,80,0.5,40,0,house,white,old,3
135,2018_06_27,21,actual,shiftingLetterNumber,30,,120,122.26873579690437,123.36874862241166,,1,,,,5.0,,,21,0,0,f8,80,0.5,40,0,house,white,new,4
135,2018_06_27,22,actual,shiftingLetterNumber,30,,120,128.3690389242547,129.46905123776378,,1,,3,0.767125952858,1.0,16.0,,22,0,0,n8,80,0.5,40,0,house,white,new,4
135,2018_06_27,23,actual,shiftingLetterNumber,30,,120,130.46912829319263,131.56914035070076,,1,,,,3.0,,,23,0,0,i8,80,0.5,40,0,house,white,new,4
135,2018_06_27,24,actual,shiftingLetterNumber,30,,120,134.569327741312,135.66933928682556,,1,,4,0.658785253177,5.0,16.0,,24,0,0,n4,80,0.5,40,0,house,white,old,3
135,2018_06_27,25,actual,shiftingLetterNumber,30,,120,140.66963112465965,141.76964471815882,,1,,2,0.833818833729,3.0,16.0,,25,0,0,p6,80,0.5,40,1,face,blue,male,1
135,2018_06_27,26,actual,shiftingLetterNumber,30,,120,144.76882859621765,145.8688398857339,,1,,2,0.558800587467,6.0,15.0,,26,1,0,g9,80,0.5,40,0,face,blue,female,2
135,2018_06_27,27,actual,shiftingLetterNumber,30,,120,151.86816021077902,152.9681758522638,,1,,4,0.608814168165,5.0,15.0,,27,1,0,i8,80,0.5,40,1,house,white,new,4
135,2018_06_27,28,actual,shiftingLetterNumber,30,,120,157.9674736494744,159.06748852296369,,1,,4,0.717092404306,2.0,16.0,,28,0,0,o4,80,0.5,40,0,house,white,old,3
135,2018_06_27,29,actual,shiftingLetterNumber,30,,120,161.06663707328698,162.16664631481763,,1,,3,0.975673524601,5.0,15.0,,29,1,0,h1,80,0.5,40,0,house,white,old,3
135,2018_06_27,30,actual,shiftingLetterNumber,30,,120,167.16591902421715,168.2659300577361,,1,,3,0.650439459136,4.0,15.0,,30,1,0,g2,80,0.5,40,0,house,white,old,3
135,2018_06_27,31,actual,shiftingLetterNumber,30,,120,172.26517076737218,173.36518436087135,,1,,3,0.633787038765,3.0,16.0,,31,0,0,h6,80,0.5,40,0,house,white,new,4
135,2018_06_27,32,actual,shiftingLetterNumber,30,,120,176.3643779668564,177.46439156035558,,1,,3,0.650488610772,6.0,16.0,,32,0,0,m7,80,0.5,40,0,house,white,new,4
135,2018_06_27,33,actual,shiftingLetterNumber,30,,120,183.46374823713268,184.56375978264623,,1,,2,0.767113664948,4.0,15.0,,33,1,0,i1,80,0.5,40,1,face,blue,female,2
135,2018_06_27,34,actual,shiftingLetterNumber,30,,120,188.56298129242714,189.6629953979209,,1,,3,0.625476060464,2.0,15.0,,34,1,0,m2,80,0.5,40,1,house,white,old,3
135,2018_06_27,35,actual,shiftingLetterNumber,30,,120,191.662097868586,192.76211171808245,,1,,3,0.783821124911,1.0,15.0,,35,1,0,m1,80,0.5,40,0,house,white,old,3
135,2018_06_27,36,actual,shiftingLetterNumber,30,,120,193.76123159661802,194.86124365412616,,1,,2,0.883821150514,5.0,16.0,,36,0,0,n7,80,0.5,40,1,face,blue,male,1
135,2018_06_27,37,actual,shiftingLetterNumber,30,,120,199.86053556338447,200.96054582890793,,1,,3,0.750464828547,4.0,15.0,,37,1,0,g1,80,0.5,40,1,house,white,old,3
135,2018_06_27,38,actual,shiftingLetterNumber,30,,120,204.9597634987149,206.05977248424824,,1,,2,0.825506831439,2.0,15.0,,38,1,0,g6,80,0.5,40,1,face,blue,female,2
135,2018_06_27,39,actual,shiftingLetterNumber,30,,120,208.05892871451215,209.1589400040284,,1,,3,0.775481730823,2.0,16.0,,39,0,0,n6,80,0.5,40,1,house,white,new,4
135,2018_06_27,40,actual,shiftingLetterNumber,30,,120,211.1580721704704,212.25808192399927,,1,,2,0.833812177782,6.0,15.0,,40,1,0,i4,80,0.5,40,1,face,blue,female,2
135,2018_06_27,41,actual,shiftingLetterNumber,30,,120,218.25734106549862,219.3573503070329,,1,,2,0.717140019951,1.0,16.0,,41,0,0,n6,80,0.5,40,0,face,blue,male,1
135,2018_06_27,42,actual,shiftingLetterNumber,30,,120,220.35654391301796,221.4565557145288,,1,,3,0.650472738893,3.0,15.0,,42,1,0,m4,80,0.5,40,1,house,white,old,3
135,2018_06_27,43,actual,shiftingLetterNumber,30,,120,224.45571655275853,225.5557311702505,,1,,,,3.0,,,43,0,0,h6,80,0.5,40,0,house,white,new,4
