participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
142,2018_06_27,1,actual,shiftingLetterNumber,30,,120,19.476801565062487,20.576813904110168,13.4724191549,1,,2,0.825455200807,2.0,15.0,,1,1,0,m8,80,0.5,40,0,face,white,male,2
142,2018_06_27,2,actual,shiftingLetterNumber,30,,120,22.575865947761486,23.67587521484529,,1,,3,0.967139987784,5.0,15.0,,2,1,0,h8,80,0.5,40,1,house,blue,new,3
142,2018_06_27,3,actual,shiftingLetterNumber,30,,120,28.67517429545842,29.775187914492562,,1,,3,0.875355899625,3.0,15.0,,3,1,0,o9,80,0.5,40,0,house,blue,new,3
142,2018_06_27,4,actual,shiftingLetterNumber,30,,120,32.77432392510673,33.874334472177,,1,,2,0.692108487368,3.0,15.0,,4,1,0,p4,80,0.5,40,1,face,white,male,2
142,2018_06_27,5,actual,shiftingLetterNumber,30,,120,36.87448115837469,37.974492985431425,,1,,2,0.825455200807,2.0,15.0,,5,1,0,m2,80,0.5,40,0,face,white,male,2
142,2018_06_27,6,actual,shiftingLetterNumber,30,,120,39.97363795593628,41.07364901500114,,1,,3,0.858856134375,4.0,15.0,,6,1,0,i9,80,0.5,40,1,house,blue,new,3
142,2018_06_27,7,actual,shiftingLetterNumber,30,,120,45.072848000843805,46.17286161987795,,1,,3,0.875468282247,5.0,15.0,,7,1,0,p6,80,0.5,40,0,house,blue,new,3
142,2018_06_27,8,actual,shiftingLetterNumber,30,,120,51.17211769301866,52.27213054406093,,1,,4,0.858783943262,2.0,15.0,,8,1,0,i2,80,0.5,40,0,house,blue,old,4
142,2018_06_27,9,actual,shiftingLetterNumber,30,,120,54.27126604268415,55.371278125734534,,1,,1,0.633795987913,4.0,15.0,,9,1,0,i9,80,0.5,40,1,face,white,female,1
142,2018_06_27,10,actual,shiftingLetterNumber,30,,120,59.37048914343177,60.47050250646498,,1,,4,0.808806701385,5.0,15.0,,10,1,0,o4,80,0.5,40,1,house,blue,old,4
142,2018_06_27,11,actual,shiftingLetterNumber,30,,120,65.47074288751173,66.57075241059647,,1,,3,0.667070971031,5.0,15.0,,11,1,0,g8,80,0.5,40,0,house,blue,new,3
142,2018_06_27,12,actual,shiftingLetterNumber,30,,120,71.57001257968659,72.6700218467704,,1,,1,0.717141139769,3.0,15.0,,12,1,0,i4,80,0.5,40,1,face,white,female,1
142,2018_06_27,13,actual,shiftingLetterNumber,30,,120,75.6701900367043,76.77020083977186,,1,,2,0.700452192843,3.0,15.0,,13,1,0,p6,80,0.5,40,0,face,white,male,2
142,2018_06_27,14,actual,shiftingLetterNumber,30,,120,79.76939060973018,80.86940243678328,,1,,1,0.875479290109,4.0,15.0,,14,1,0,g1,80,0.5,40,0,face,white,female,1
142,2018_06_27,15,actual,shiftingLetterNumber,30,,120,84.8696113302176,85.96962162129057,,1,,3,0.892091693979,4.0,15.0,,15,1,0,n7,80,0.5,40,1,house,blue,new,3
142,2018_06_27,16,actual,shiftingLetterNumber,30,,120,89.96883263898417,91.06884293005714,,1,,3,0.917114618496,6.0,15.0,,16,1,0,m8,80,0.5,40,0,house,blue,new,3
142,2018_06_27,17,actual,shiftingLetterNumber,30,,120,97.06815890646249,98.16817073351922,,1,,4,0.658725985577,1.0,15.0,,17,1,0,o2,80,0.5,40,0,house,blue,old,4
142,2018_06_27,18,actual,shiftingLetterNumber,30,,120,99.1672511928191,100.26726506784689,,1,,1,0.983816646862,2.0,15.0,,18,1,0,g2,80,0.5,40,1,face,white,female,1
142,2018_06_27,19,actual,shiftingLetterNumber,30,,120,102.26635448703746,103.36636554610232,,1,,1,0.600491053166,4.0,15.0,,19,1,0,h9,80,0.5,40,0,face,white,female,1
142,2018_06_27,20,actual,shiftingLetterNumber,30,,120,107.36558757166131,108.46560042270357,,1,,2,0.558806317389,2.0,15.0,,20,1,0,n9,80,0.5,40,0,face,white,male,2
142,2018_06_27,21,actual,shiftingLetterNumber,30,,120,110.46489182340883,111.56490211448181,,1,,1,0.542134266252,3.0,15.0,,21,1,0,i7,80,0.5,40,0,face,white,female,1
142,2018_06_27,22,actual,shiftingLetterNumber,30,,120,114.56395031817738,115.66396163323952,,1,,3,0.692152262833,3.0,15.0,,22,1,0,n8,80,0.5,40,1,house,blue,new,3
142,2018_06_27,23,actual,shiftingLetterNumber,30,,120,118.66311300366942,119.76312457472523,,1,,2,0.70045961675,1.0,15.0,,23,1,0,o4,80,0.5,40,1,face,white,male,2
142,2018_06_27,24,actual,shiftingLetterNumber,30,,120,120.76218660225277,121.86219842930586,,1,,4,0.800433556273,6.0,15.0,,24,1,0,n4,80,0.5,40,1,house,blue,old,4
