Subject,wTaste_nat,wHealth_nat,Threshold_nat,Bias_nat,ndt_nat,wConstant_nat,wTaste_health,wHealth_health,Threshold_health,Bias_health,ndt_health,wConstant_health,wTaste_desire,wHealth_desire,Threshold_desire,Bias_desire,ndt_desire,wConstant_desire
101,0.0869,0.0355,0.0701,-0.11,0.5504,-0.0917,0.0429,0.091,0.0664,0.0137,0.5524,-0.136,0.0532,0.0307,0.0774,-0.009,0.4382,-0.1405
102,0.0267,0.0015,0.1041,0.1671,0.2568,-0.1445,0.012,0.0487,0.1184,-0.0066,0.3362,-0.0855,0.0272,-0.0163,0.1154,-0.0268,0.3429,-0.0841
103,0.0085,0.0312,0.0824,-0.1353,0.3873,-0.0159,0.0335,0.0323,0.0874,-0.1085,0.3748,-0.0463,0.0559,0.0169,0.0785,-0.1448,0.4372,-0.0689
104,0.042,0.003,0.1114,0.0953,0.5109,-0.0741,0.023,-0.0134,0.1735,0.2284,0.2977,-0.1076,0.0138,0.0086,0.1409,0.0893,0.5163,-0.0772
106,0.0201,-0.001,0.1001,0.0391,0.7843,-0.0633,0.0004,0.0123,0.115,0.0976,0.5974,-0.0727,0.0263,-0.0076,0.0962,0.122,0.8549,-0.141
107,0.0173,-0.0086,0.0947,0.1347,0.8895,-0.0735,-0.0124,0.0029,0.0971,0.109,0.758,-0.0504,0.0282,0.0109,0.1378,0.3818,0.7858,-0.2028
108,0.0317,0.0138,0.0854,0.0708,0.4756,-0.113,0.034,0.0386,0.0894,0.0643,0.5226,-0.0922,0.0348,0.0239,0.0931,-0.0941,0.4707,-0.1041
109,0.021,0.0593,0.118,-0.0518,0.6072,-0.0654,0.0174,0.0757,0.1214,-0.0542,0.6363,-0.0876,0.0167,0.0194,0.2073,0.1084,0.2724,-0.1798
110,0.0137,0.0035,0.0981,-0.0109,0.4059,-0.0878,0.0003,0.0033,0.1048,0.0336,0.3758,-0.1017,0.0002,-0.0071,0.1129,-0.1478,0.4637,-0.1409
111,0.0046,-0.0031,0.0841,0.0342,0.7585,-0.0835,-0.0034,0.0111,0.11,-0.1425,0.6467,-0.0463,0.0082,-0.004,0.1198,-0.0062,0.9681,-0.0502
112,0.0073,0.0102,0.092,-0.1032,0.4872,-0.0409,-0.0269,0.0166,0.1033,0.0135,0.4592,-0.0792,0.0083,0.0332,0.0903,0.1528,0.5753,-0.1117
