Subject	Natural	Decrease	Health	
101	9.4077	11.7263	16.0799	
102	44.6043	33.1112	48.9745	
103	12.6930	14.7067	26.5938	
104	2.7966	4.6451	1.4658	
106	9.9299	14.1423	25.6306	
107	4.6007	6.8066	-0.9043	
108	3.4012	7.0338	4.9532	
109	1.2735	6.0492	10.2761	
110	-4.0489	14.7322	3.0462	
111	15.4712	17.5729	27.0487	
112	33.3112	29.9031	33.5832	
114	45.9296	45.8144	42.6338	
116	2.1902	3.5547	8.3863	
118	2.2781	9.5687	13.5230	
119	11.8795	17.9616	32.4250	
120	20.2926	16.4881	6.1332	
121	35.0247	36.2060	46.3609	
123	10.7597	7.7873	14.5815	
124	0.6873	7.5224	5.5624	
125	3.6566	9.1941	12.2321	
126	6.7882	4.5625	5.9499	
129	23.6906	18.7228	25.8381	
130	7.8157	5.6080	15.2712	
131	25.8624	22.9072	35.8746	
132	15.3333	19.1465	16.0551	
133	11.7086	10.2629	10.4438	
134	7.9187	9.5999	11.6402	
135	16.7248	9.0212	14.6335	
136	3.1713	-3.4621	0.9783	
137	7.8513	21.9681	17.2613	
139	5.0675	5.7254	9.9603	
140	1.3239	5.5886	1.9666	
142	19.9264	22.6499	30.9783	
143	9.8990	23.5009	16.4847	
144	-3.1269	4.8064	1.9275	
145	7.2057	17.7758	14.9057	
146	8.1468	9.4076	5.7745	
147	17.3906	12.0394	14.9032	
148	-1.6017	-1.7540	-7.4053	
150	8.2365	5.5304	2.7985	
152	9.1973	9.8859	6.8799	
153	20.8916	24.5903	35.6899	
154	28.5068	15.0073	23.2424	
155	13.7075	7.2573	13.6939	
156	10.2797	21.5014	2.6994	
157	6.1194	15.5191	20.5265	
158	7.3453	13.3436	6.7534	
162	-4.3453	6.4675	11.0467	
163	13.1792	10.7241	18.2260	
164	8.4578	6.6163	3.6796	
