Subject	Natural-Preference	Decrease-Preference	Health-Preference	
101	2.0394	13.2645	5.5239	
102	0.1979	2.3706	4.5881	
103	6.8774	10.9480	14.8223	
104	2.5742	3.1509	-1.4385	
106	4.4113	-6.3855	7.1556	
107	-1.4355	1.5496	-1.2954	
108	1.3948	2.0475	-2.9239	
109	1.7474	8.4678	1.2044	
110	-0.4718	9.6831	7.8082	
111	-3.1335	8.3968	4.4749	
112	5.1213	13.5464	2.6651	
114	8.5375	-0.1855	0.5413	
116	2.7103	2.2518	2.2467	
118	-0.2090	2.8577	3.4164	
119	4.9552	7.7000	-5.3858	
120	1.5943	-1.2945	-2.8166	
121	5.9767	-0.0450	12.6527	
123	-5.7069	3.0328	0.6824	
124	-0.9167	0.0285	3.4936	
125	-1.4941	-0.6099	2.3842	
126	4.8049	6.7543	-0.7163	
129	1.7172	5.6936	2.8327	
130	-2.3059	-6.4011	6.0206	
131	1.4520	4.2802	7.4427	
132	1.3905	-2.1683	-3.8801	
133	4.4575	-0.2704	1.2371	
134	1.3004	-2.4039	2.4839	
135	3.5891	-0.7349	-2.2284	
136	0.9524	3.4960	2.0468	
137	-2.7010	2.0694	6.6948	
139	-1.1064	-0.4352	-0.6690	
140	3.6274	7.8882	-1.3317	
142	0.8635	-5.0884	2.7041	
143	1.5390	3.1857	-1.2770	
144	1.1221	3.7952	0.7433	
145	2.0038	-0.1353	7.0716	
146	2.9812	4.8842	-3.2387	
147	3.8799	-3.6081	0.0031	
148	-2.8793	-2.4141	2.5257	
150	0.9656	4.8116	0.2945	
152	-1.4711	-3.0136	-5.0407	
153	5.5609	9.8584	5.4569	
154	23.8448	0.1496	4.5393	
155	3.4062	-1.8702	-2.8731	
156	6.8794	3.9151	-7.7954	
157	2.7437	1.6172	9.8362	
158	-4.5536	-1.6181	-9.9728	
162	-1.4672	0.2372	2.9420	
163	1.9591	-0.5647	3.1420	
164	-0.9971	-0.1201	-0.1548	
