Subject	Natural-pre_m_post	Decrease-pre_m_post	Health-pre_m_post	
101	-4.3700	-1.0085	-0.8946	
102	-1.7938	0.7803	5.0447	
103	-3.2007	7.7484	5.5591	
104	1.1555	1.8796	-0.8070	
106	3.7192	-1.1409	9.8889	
107	-0.0666	-1.1010	0.0428	
108	-5.6615	-0.5819	-0.8057	
109	-0.2109	0.9678	-3.3791	
110	6.4282	6.8515	3.8522	
111	-1.0444	-1.2090	1.6562	
112	-0.0283	12.2019	-6.8387	
114	5.9482	-2.3888	-0.1426	
116	2.3360	1.7294	-0.6172	
118	1.7598	-0.8579	1.4559	
119	-2.9192	-3.9682	-9.3564	
120	-4.6959	-0.9086	0.8301	
121	-6.3840	-2.0407	0.2417	
123	-1.9881	-1.0335	0.5775	
124	-1.8305	3.5944	-4.9384	
125	-12.4076	-5.3297	4.0212	
126	2.5708	-2.1455	0.4484	
129	2.6165	-0.1375	1.5939	
130	-1.7389	3.5092	1.5721	
131	4.9399	2.9374	4.0097	
132	0.4076	-4.8898	0.8377	
133	-2.0031	-0.7989	-1.1338	
134	8.2279	1.2203	-1.4080	
135	4.0525	-1.4394	2.5129	
136	3.7740	1.3632	0.9007	
137	4.6153	0.9745	1.3888	
139	-0.3097	2.2601	-2.8620	
140	-2.1500	5.5029	8.8355	
142	1.7938	3.4484	-4.1016	
143	1.4065	4.1051	6.3592	
144	0.1336	2.9670	-0.4963	
145	0.3728	0.8801	0.8565	
146	-0.3658	-0.2830	0.2470	
147	3.0255	0.5868	2.4386	
148	-2.8300	-1.6519	-3.6567	
150	-0.1376	-1.4613	1.6399	
152	0.5981	2.9600	0.6541	
153	-2.3614	3.2211	-3.0258	
154	-0.7593	1.8672	-3.5280	
155	-1.6678	4.5479	-0.1042	
156	-2.1725	-0.0094	-0.9977	
157	1.2228	0.9272	0.0041	
158	-5.2845	3.5232	-1.8175	
162	3.7122	2.8041	3.5388	
163	2.7681	3.0224	2.9016	
164	1.2504	0.1495	-0.4300	
