Subject	Natural-reg_success_lasting	Decrease-reg_success_lasting	Health-reg_success_lasting	
101	-4.6596	-5.6237	4.1305	
102	3.0563	4.5821	4.8904	
103	7.0665	-0.4136	6.5592	
104	1.2313	2.4355	-1.3231	
106	-1.0471	4.6767	11.5386	
107	-0.3906	-1.5983	0.7605	
108	-1.8897	-1.2153	0.0510	
109	0.0048	-2.2400	0.8582	
110	2.6989	2.4658	-3.9835	
111	1.8426	-0.4199	-0.3483	
112	-8.9691	-8.1488	-10.2837	
114	-2.4828	2.2226	2.0813	
116	-0.9558	3.1915	2.1768	
118	0.5138	1.0770	0.2770	
119	-1.4775	-2.4933	7.6454	
120	4.1747	7.7209	-1.5818	
121	2.0098	-1.5915	0.4237	
123	0.5809	-0.5634	0.9332	
124	0.6311	1.2796	1.2545	
125	3.7051	-0.5842	0.8938	
126	-0.6252	-3.4406	1.7153	
129	-2.2561	1.0277	-0.5446	
130	0.2066	0.7792	-1.2512	
131	2.8434	-1.5805	4.2280	
132	-2.4896	5.3341	2.7756	
133	0.5811	1.1835	-0.9370	
134	3.1273	-0.3260	1.6097	
135	-3.2076	1.0523	-0.0558	
136	3.5674	0.7527	0.4014	
137	0.3248	3.3408	-2.2989	
139	1.2043	-1.1879	-4.7613	
140	2.3413	-2.3524	3.1632	
142	-0.3213	-1.2222	-0.9930	
143	-7.2156	5.5363	4.9929	
144	-3.9525	2.1886	4.5237	
145	-2.1953	-1.7654	-1.6992	
146	0.5397	-0.1437	1.5038	
147	3.1494	0.6190	-1.2630	
148	-5.2765	-5.0081	-2.5949	
150	0.1521	2.3285	2.0088	
152	-1.3482	-0.9330	0.1853	
153	1.2119	1.5011	-2.2240	
154	4.0598	-0.0831	2.3556	
155	-3.6401	-3.3168	2.4461	
156	-2.8396	1.1081	-1.8172	
157	-0.5409	2.8641	0.6689	
158	-4.6509	-0.9240	-6.1581	
162	-1.7063	0.3710	-0.2415	
163	-1.1218	-4.4844	1.5920	
164	-1.7818	0.2719	-2.8365	
