Subject	Natural	Decrease	Health	
101	13.5968	14.1378	27.3059	
102	23.6603	12.8809	26.3884	
103	2.3742	1.0675	19.2981	
104	6.4602	7.3936	11.2355	
106	0.2387	-0.5905	-5.0111	
107	0.8660	1.4761	1.5528	
108	32.0284	33.1697	29.8627	
109	9.0627	6.6881	11.8438	
110	14.4161	24.6954	18.6319	
111	22.2513	15.2888	21.3742	
112	24.4083	22.9294	25.5267	
114	30.1989	33.0294	35.7189	
116	25.6019	25.8348	25.5356	
118	12.6368	9.9493	15.7794	
119	31.8880	18.0074	35.3178	
120	26.0655	19.0897	14.3690	
121	19.2687	21.2564	22.9308	
123	6.1395	6.6327	11.5332	
124	10.0635	8.5312	10.5156	
125	11.5722	21.1330	21.5071	
126	0.5335	-0.8438	-0.2500	
129	28.0586	26.5876	33.3725	
130	5.4404	1.3925	8.5272	
131	21.4212	14.7789	24.6841	
132	18.8688	21.4935	28.9192	
133	11.4137	5.0838	12.9436	
134	8.0849	6.2983	4.6972	
135	12.7091	8.1837	6.3842	
136	25.3795	15.1397	21.6689	
137	12.8666	11.2585	10.5693	
139	15.4743	16.7387	12.7674	
140	25.2335	22.0444	17.2021	
142	9.1523	8.1684	16.0509	
143	29.5902	32.8480	26.2847	
144	6.6748	13.2274	7.9766	
145	21.9667	19.3385	17.8651	
146	6.1733	5.6017	7.1918	
147	18.1357	15.3578	18.7948	
148	23.1353	22.8804	24.3100	
150	11.4474	5.3166	7.6115	
152	6.0066	2.0249	1.2961	
153	7.4827	5.4422	9.6020	
154	39.6219	20.6078	14.8686	
155	27.0647	20.6120	22.3778	
156	-1.0910	6.8944	0.6214	
157	17.8167	19.5746	23.3276	
158	23.3166	22.1127	11.3974	
162	21.3013	21.5692	20.4679	
163	18.2569	4.8278	22.9375	
164	-0.4907	-1.4785	1.0033	
