Subject	Natural-Preference	Decrease-Preference	Health-Preference	
101	2.4800	9.9742	5.6013	
102	-4.3991	4.7704	7.1239	
103	-1.2429	10.1354	15.2194	
104	2.9651	1.5226	1.7845	
106	1.2442	-1.0776	2.2172	
107	1.0889	4.7302	-0.9330	
108	-0.5082	1.5683	-5.8748	
109	2.5865	2.7038	-0.1297	
110	-0.2172	7.2051	3.7873	
111	-0.1137	4.0583	1.2280	
112	0.5190	3.6669	6.2161	
114	9.4978	-0.5542	1.1333	
116	4.4379	0.4781	6.7659	
118	-0.2633	3.8858	1.8077	
119	2.8400	5.9456	6.4305	
120	4.8534	-1.0100	0.3014	
121	-0.3902	-2.7839	4.8604	
123	-0.8731	0.4723	0.7000	
124	-0.3674	0.2708	2.7534	
125	-0.5973	-1.1282	0.4625	
126	2.8649	-1.2665	2.3301	
129	2.1270	-0.4853	0.6648	
130	-6.1851	-5.2759	4.2074	
131	-0.5902	5.0447	5.4080	
132	0.3314	-8.2936	1.3150	
133	-0.4736	-3.0436	2.9203	
134	0.5699	-1.8232	0.2406	
135	3.7484	3.0852	1.7124	
136	-1.1124	2.5903	3.7236	
137	2.7244	0.0123	1.2714	
139	-5.1887	2.7911	-3.9729	
140	5.9642	8.2076	-2.4619	
142	-1.2180	-2.1570	3.6814	
143	1.2513	3.3751	-2.2872	
144	1.0593	1.3076	1.7275	
145	1.6867	1.7141	4.1251	
146	3.2863	0.7101	0.7755	
147	3.1202	-1.9828	2.7033	
148	1.8675	-1.1702	-0.5679	
150	0.9349	2.6916	0.8220	
152	0.3098	-0.2075	-1.2767	
153	2.0726	3.4636	-0.3426	
154	12.0442	-5.2336	-3.2504	
155	6.9380	-1.3981	-0.2431	
156	5.5594	3.0206	-3.4748	
157	-0.5541	1.9361	6.0431	
158	0.1447	4.6068	-9.9688	
162	-5.9005	-0.4318	1.4867	
163	5.2822	3.5609	5.6596	
164	0.5344	-2.0115	0.5641	
