Subject	Natural-pre_m_post	Decrease-pre_m_post	Health-pre_m_post	
101	-0.4400	-1.7084	-4.2441	
102	1.9399	0.9201	0.8902	
103	8.2076	3.7510	8.7176	
104	-2.3131	1.6037	-0.7991	
106	1.1097	2.9155	2.8611	
107	-0.0683	0.3597	0.9024	
108	-4.8199	0.9478	-0.6787	
109	0.3145	-0.4603	-0.1464	
110	2.6356	0.8895	1.8302	
111	-2.7230	-1.6193	-0.4700	
112	3.9843	3.1400	0.0012	
114	2.2529	-3.4931	0.1722	
116	3.6153	1.6534	-0.1817	
118	1.1805	1.8442	0.0187	
119	-2.8847	0.8826	2.8587	
120	1.6198	-3.0673	1.8173	
121	-3.4071	-0.5771	-2.8894	
123	0.2846	-1.1397	0.2123	
124	-2.2715	4.7507	-3.0171	
125	-5.6926	0.9047	1.7308	
126	1.0920	-0.3534	0.6000	
129	0.6480	0.9615	2.8817	
130	-1.5608	0.4577	0.9375	
131	2.5430	-1.0743	0.4707	
132	-3.9204	3.2887	3.0700	
133	-1.0954	-1.0628	0.0099	
134	3.7830	2.1040	-0.3125	
135	1.8894	1.3529	1.8776	
136	3.5909	2.9274	1.3219	
137	1.2534	1.2035	1.3192	
139	2.2802	-1.2467	-1.4096	
140	-1.9521	4.4969	0.1388	
142	-0.5090	1.8271	-1.4222	
143	-3.2396	-2.6097	8.0179	
144	2.7054	1.0045	-1.6039	
145	0.1274	0.6077	1.7339	
146	1.0810	-0.9551	-0.9266	
147	-0.6503	0.0336	4.5829	
148	-2.8779	-1.7477	-1.8033	
150	0.2314	-0.3086	-1.5215	
152	2.1746	1.0527	0.9837	
153	1.2268	2.5656	0.2967	
154	-3.5790	1.8196	-1.4066	
155	-1.1177	3.8266	-0.9513	
156	-1.2462	0.0376	-0.6387	
157	0.7156	0.8926	-4.9946	
158	-3.3837	2.9425	0.4184	
162	3.5727	2.3970	-0.6268	
163	4.4969	1.6098	2.1521	
164	-0.4112	0.2371	-0.7410	
