Subject	Natural-reg_success_lasting	Decrease-reg_success_lasting	Health-reg_success_lasting	
101	-8.7984	-3.4694	3.0656	
102	-4.1149	1.9615	2.9972	
103	1.4568	-1.6756	-0.2305	
104	3.2505	-0.3662	-0.5324	
106	-1.3183	2.1957	3.9918	
107	0.2042	-1.9463	0.4528	
108	-2.2994	-0.1689	0.0981	
109	0.3718	0.9219	0.1323	
110	-0.8813	-0.0602	0.4492	
111	3.2425	-0.5322	-0.6465	
112	1.7810	-0.9556	-4.4570	
114	-2.1196	-4.1241	2.3153	
116	1.0522	3.3079	2.1608	
118	-1.9569	0.1161	-0.3620	
119	-2.5198	2.6432	5.5277	
120	-1.2080	3.5957	0.1365	
121	1.8258	-1.2991	1.4084	
123	0.1269	-1.6057	0.4347	
124	-0.2991	4.6462	-0.0047	
125	-0.3133	1.3010	-5.4164	
126	-0.4401	-1.8026	0.7307	
129	-0.7787	3.3659	-1.4606	
130	-1.4445	4.3775	-1.4137	
131	-0.1421	-2.2286	1.9082	
132	-2.8996	-0.7386	3.7883	
133	-1.1201	1.3754	-1.7351	
134	1.3182	1.2302	2.1419	
135	-1.4886	1.2366	-0.8449	
136	3.0996	1.1395	1.8280	
137	2.5286	1.6202	-1.1860	
139	-0.3995	-0.8640	-4.0813	
140	1.5081	-5.3079	0.8266	
142	-0.7167	-0.1717	-0.9411	
143	-13.4381	-1.6282	5.6807	
144	-6.8325	0.4897	-2.1096	
145	-0.0261	-1.7159	-1.2467	
146	0.8190	-1.3682	1.4053	
147	0.7119	-0.8143	-4.2170	
148	-0.4389	-0.6894	-1.3121	
150	-0.9740	-0.0837	1.5186	
152	0.4876	0.7231	-0.2188	
153	-0.9360	0.5925	1.8167	
154	-0.0965	3.1047	4.7727	
155	-3.1065	-3.8631	2.0700	
156	-1.0573	1.2198	-0.2852	
157	0.3187	1.8971	-1.5655	
158	-6.5377	2.9993	-0.6231	
162	-3.7110	0.3333	-0.1036	
163	-0.7183	-2.1306	-0.1091	
164	-1.7316	-0.2701	0.0502	
