Subject	Natural	Decrease	Health	
101	11.8387	7.9307	20.5904	
102	18.0133	5.3437	4.2245	
103	6.0656	16.1751	27.0601	
104	0.6277	1.7987	0.2329	
106	4.5590	1.5068	-0.0866	
107	-6.4475	-8.7135	-4.1616	
108	3.8605	5.9036	5.0761	
109	0.8171	1.8986	2.1694	
110	2.5302	2.4286	8.7976	
111	4.9424	-2.2172	5.2823	
112	-2.4352	8.3641	-4.3923	
114	8.2657	-0.2920	11.7435	
116	5.0962	5.1844	6.5946	
118	10.1303	7.0947	9.6954	
119	6.7441	2.0882	-3.3397	
120	10.0741	14.3063	3.3359	
121	6.3101	7.0000	9.9313	
123	-3.6057	-1.8874	-7.5835	
124	-1.1264	2.0616	-2.3064	
125	-8.3006	-8.4333	-2.3164	
126	-6.0386	-3.3337	-4.0409	
129	1.1989	-3.2316	1.9863	
130	2.4987	-4.0599	-6.5858	
131	8.2442	3.1762	18.6052	
132	15.6119	14.0637	22.8979	
133	4.2772	-0.5769	0.2390	
134	9.0866	10.1896	2.1145	
135	7.7220	-0.7377	-14.0992	
136	8.9942	2.5494	5.1523	
137	16.0922	-4.0359	-5.6494	
139	5.3615	4.0016	0.8816	
140	5.5608	-1.5811	-1.7513	
142	-1.8088	-4.2809	13.8425	
143	7.1827	6.3981	11.2021	
144	5.0075	9.3051	13.1205	
145	-8.5741	6.0141	5.8299	
146	-0.1333	-5.3390	-3.5778	
147	1.7929	-1.8906	14.2635	
148	5.4861	-0.6213	1.9184	
150	6.0624	2.8772	7.3751	
152	2.6875	-3.8340	-1.1470	
153	3.0824	-6.0449	-1.7235	
154	4.3664	1.3567	3.1676	
155	8.0710	6.9313	7.0070	
156	-2.1737	-1.9277	-6.7623	
157	-12.5932	-7.9891	10.7504	
158	4.8390	5.3440	-11.7658	
162	2.1870	0.1537	3.3902	
163	1.4267	1.6848	3.9484	
164	-3.2443	-5.6408	-6.3637	
