Subject	Natural-Preference	Decrease-Preference	Health-Preference	
101	6.5749	0.1053	7.5976	
102	1.5320	11.2702	3.0762	
103	-1.9928	-0.6882	7.6369	
104	-0.6567	2.7896	-2.0939	
106	-0.4841	-7.3703	1.3134	
107	-1.6090	9.2220	-0.3599	
108	-0.4904	7.4504	0.5580	
109	4.7093	0.5411	2.3674	
110	2.2896	5.1117	0.8328	
111	-2.0296	6.2249	0.7707	
112	0.7833	4.2264	-0.1716	
114	2.2108	2.2746	1.7740	
116	6.5719	5.7052	6.8057	
118	1.1007	1.0835	1.6908	
119	-2.4887	11.6120	-2.2046	
120	3.8957	0.5126	-1.5011	
121	3.2670	-1.5137	6.1604	
123	-1.2412	-1.6184	-3.1044	
124	2.6296	-0.2161	3.1013	
125	-1.4805	-1.7526	1.3042	
126	9.3690	2.1673	3.6146	
129	4.8601	0.4619	1.3499	
130	2.8464	6.4413	-3.4308	
131	0.7183	2.7405	7.2211	
132	6.1599	3.4082	2.0295	
133	5.7354	3.0130	4.8366	
134	3.5965	-5.8788	-0.4851	
135	0.0708	-2.2360	-3.8203	
136	4.6941	5.0013	3.0585	
137	4.5944	-1.0605	-1.4823	
139	0.1503	-3.8561	-2.3441	
140	0.0196	10.7273	0.1868	
142	-2.9622	0.2538	7.2331	
143	7.0687	8.2114	-0.1514	
144	7.3330	-2.2549	3.9933	
145	5.0410	6.0746	4.3922	
146	1.7245	4.9814	0.7728	
147	1.4871	1.8319	6.5146	
148	4.4186	-1.5008	-0.5587	
150	2.6669	-0.9927	3.0126	
152	1.7568	0.6022	-3.0886	
153	8.2034	3.3793	1.6846	
154	3.2333	3.9048	5.1118	
155	5.2872	8.1646	1.0773	
156	6.5826	-1.0214	-1.6451	
157	-0.7014	-0.9828	11.8075	
158	1.8663	-3.1049	-12.0127	
162	-0.8158	3.7847	1.9962	
163	-1.5465	0.1700	3.3027	
164	2.0804	-0.3665	2.1557	
