Subject	Natural-pre_m_post	Decrease-pre_m_post	Health-pre_m_post	
101	-3.4483	-0.2285	-3.6873	
102	1.5392	3.0301	-1.1638	
103	6.8747	2.0688	-0.0702	
104	1.1454	-0.6714	0.0834	
106	0.4538	1.9070	4.1612	
107	-1.1946	-2.0277	2.0710	
108	-0.3338	1.4267	0.8913	
109	1.9624	-1.0625	-0.9812	
110	-2.4990	-0.3431	3.1900	
111	-1.7675	-0.6257	-1.4421	
112	1.8741	5.4140	9.6983	
114	1.7024	-5.5605	-1.8920	
116	1.4627	0.9986	0.1920	
118	2.0585	1.1024	0.9239	
119	-2.3610	-3.5012	-2.9896	
120	1.1831	-2.5127	1.6182	
121	-4.6570	0.5521	-0.9775	
123	0.1754	-0.5206	-0.1589	
124	-7.5662	4.8494	-7.7605	
125	-13.8327	2.7127	4.7406	
126	1.6725	1.5371	-1.1871	
129	-2.4854	-0.3423	-1.0846	
130	7.1272	-6.9906	1.9348	
131	3.8537	-3.2515	0.8640	
132	3.2864	-1.4254	-0.7918	
133	-2.0999	-0.7718	-0.7884	
134	4.6583	1.6657	-0.6150	
135	-1.2008	1.2957	2.2301	
136	1.4435	-0.7378	2.9166	
137	3.2189	0.7919	-7.1469	
139	1.1095	-5.5087	-3.7346	
140	-4.1783	2.6215	9.0251	
142	-2.1778	5.7135	-4.1839	
143	-0.7864	-10.9211	9.8251	
144	4.4744	0.9059	-1.1001	
145	2.2028	2.0306	-0.3363	
146	3.0187	-1.4916	-1.7350	
147	6.1866	4.3099	2.0412	
148	-5.8184	-0.1882	0.2495	
150	1.2846	-0.7336	-0.3537	
152	3.4451	-0.0015	2.4106	
153	4.4101	1.8874	-6.3314	
154	-2.0418	2.6490	0.7967	
155	-0.5228	4.4971	1.5464	
156	0.1414	0.1237	1.0114	
157	4.6156	0.0621	2.9138	
158	0.3243	-0.9222	2.9622	
162	0.4187	-0.2875	0.5421	
163	1.5198	-0.2043	0.1754	
164	0.2797	-1.4072	-1.7181	
