Subject	Natural-reg_success_lasting	Decrease-reg_success_lasting	Health-reg_success_lasting	
101	2.4299	-4.7984	6.6694	
102	-4.5882	-2.9443	1.5033	
103	-1.2652	-6.4971	-4.2331	
104	3.6922	-2.5854	-2.1016	
106	0.2145	2.6966	5.9974	
107	1.5889	-2.7520	0.1811	
108	-0.3902	-2.2231	0.2751	
109	-0.7021	0.5903	-1.0683	
110	0.1261	-1.7770	-2.4350	
111	0.9494	0.3853	0.0474	
112	6.2715	-3.9493	2.0006	
114	1.5819	1.9998	0.6587	
116	4.7209	1.0716	-0.8247	
118	-0.6220	0.3861	-1.5658	
119	0.6532	-2.9093	5.2564	
120	-0.1059	3.4546	-0.7612	
121	1.2564	-0.3566	3.0442	
123	2.8378	-0.4766	-0.9941	
124	5.1056	5.9317	0.4688	
125	4.2756	2.9672	-3.4618	
126	0.1505	-1.0939	0.6310	
129	-3.6905	4.2159	-1.6988	
130	-6.6741	5.8658	4.2489	
131	-0.6736	-1.1799	-0.9499	
132	-5.4575	-2.2038	1.0956	
133	-0.0280	0.1687	-0.7871	
134	1.1675	0.5327	2.0710	
135	0.9549	1.6996	1.8032	
136	1.5064	0.6225	2.7253	
137	-0.7896	3.9983	-2.7281	
139	1.2919	-5.9288	-5.5518	
140	1.5805	-4.0638	6.1393	
142	-1.1577	-1.2151	-2.0761	
143	-0.3459	-3.4726	-0.8293	
144	-7.0068	-0.2566	-2.0861	
145	0.4706	-5.3669	-3.2873	
146	-0.3685	2.8825	0.4171	
147	4.9355	1.8323	1.2361	
148	-6.2562	-0.6954	2.3050	
150	-0.6927	-1.4553	1.7195	
152	0.3139	-0.7513	0.6562	
153	0.5120	2.4622	-2.4844	
154	-2.4179	3.3268	0.3700	
155	-3.0694	-2.9848	0.4286	
156	0.0758	0.9157	-0.9060	
157	2.2698	0.0349	-0.6945	
158	-1.9830	-2.2160	-2.3671	
162	-3.1186	0.9464	-3.8367	
163	-0.4713	-2.8894	0.3737	
164	-0.2945	-1.2767	-2.0103	
